,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Time
0,cape town,za,64.0,87.0,75.0,24.16,-33.93,18.42,1563479926.0
1,tuatapere,nz,42.01,94.0,100.0,9.53,-46.13,167.69,1563479964.0
2,new norfolk,au,55.99,70.0,20.0,9.17,-42.78,147.06,1563479966.0
3,narsaq,gl,62.6,59.0,40.0,8.05,60.91,-46.05,1563479968.0
4,ushuaia,ar,37.4,74.0,0.0,5.82,-54.81,-68.31,1563479740.0
5,cabo san lucas,mx,98.01,55.0,5.0,9.17,22.89,-109.91,1563479801.0
6,bethel,us,57.2,82.0,90.0,11.41,60.79,-161.76,1563479973.0
7,bambous virieux,mu,73.4,69.0,40.0,18.34,-20.34,57.76,1563479730.0
8,punta arenas,cl,37.4,74.0,0.0,14.99,-53.16,-70.91,1563479865.0
9,gandajika,cd,65.03,26.0,0.0,4.41,-6.75,23.95,1563479942.0
10,gallup,us,89.6,14.0,1.0,11.41,35.53,-108.74,1563479980.0
11,gaoual,gn,72.77,97.0,100.0,4.43,11.75,-13.2,1563479946.0
12,saint-philippe,re,68.0,68.0,0.0,6.93,-21.36,55.77,1563479947.0
14,ginir,et,55.85,87.0,18.0,6.76,7.14,40.71,1563479987.0
15,casino,au,55.99,86.0,0.0,5.82,-28.86,153.05,1563479795.0
16,kulhudhuffushi,mv,82.31,72.0,100.0,29.44,6.62,73.07,1563479990.0
17,acapulco,mx,89.6,66.0,40.0,3.36,16.86,-99.88,1563479881.0
18,carnarvon,au,50.0,100.0,18.0,4.7,-24.87,113.63,1563479993.0
20,hermanus,za,64.0,74.0,100.0,11.01,-34.42,19.24,1563479997.0
21,jamestown,sh,68.45,80.0,5.0,12.75,-15.94,-5.72,1563479887.0
22,vila franca do campo,pt,71.6,78.0,20.0,13.87,37.72,-25.43,1563479889.0
23,albany,au,55.4,93.0,75.0,11.41,-35.02,117.88,1563479891.0
24,yarmouth,ca,73.4,56.0,75.0,4.7,43.84,-66.12,1563480004.0
26,rikitea,pf,67.55,78.0,55.0,28.32,-23.12,-134.97,1563480007.0
27,vestmannaeyjar,is,53.6,94.0,40.0,11.41,63.44,-20.27,1563479740.0
28,hithadhoo,mv,80.87,75.0,100.0,8.55,-0.6,73.08,1563479962.0
29,mahebourg,mu,73.4,69.0,40.0,18.34,-20.41,57.7,1563480014.0
30,bosaso,so,88.25,63.0,100.0,6.49,11.28,49.18,1563480016.0
31,hilo,us,82.99,61.0,40.0,5.82,19.71,-155.08,1563480018.0
32,dingle,ie,60.8,82.0,75.0,5.82,52.14,-10.27,1563480019.0
33,sile,tr,72.0,78.0,0.0,9.17,41.18,29.61,1563480021.0
34,bambanglipuro,id,73.49,87.0,15.0,7.63,-7.95,110.28,1563480023.0
36,lebu,cl,52.25,65.0,7.0,8.03,-37.62,-73.65,1563480026.0
37,provideniya,ru,53.6,93.0,75.0,6.71,64.42,-173.23,1563480028.0
38,bluff,nz,42.01,94.0,100.0,7.7,-46.6,168.33,1563480030.0
39,margate,za,62.51,23.0,65.0,5.44,-30.86,30.37,1563480032.0
40,ambilobe,mg,70.25,71.0,0.0,10.45,-13.19,49.05,1563480034.0
41,walvis bay,na,78.8,16.0,0.0,4.7,-22.95,14.51,1563480035.0
42,souillac,mu,73.4,69.0,40.0,18.34,-20.52,57.52,1563480037.0
43,ayolas,py,59.99,80.0,98.0,3.69,-27.39,-56.84,1563480039.0
